timestamp,temperature_C
2025-08-01 00:00:00,54.22
2025-08-01 00:00:10,23.39
2025-08-01 00:00:20,23.97
2025-08-01 00:00:30,24.57
2025-08-01 00:00:40,24.12
2025-08-01 00:00:50,23.51
2025-08-01 00:01:00,23.55
2025-08-01 00:01:10,24.39
2025-08-01 00:01:20,24.01
2025-08-01 00:01:30,24.35
2025-08-01 00:01:40,23.85
2025-08-01 00:01:50,24.99
2025-08-01 00:02:00,23.78
2025-08-01 00:02:10,23.85
2025-08-01 00:02:20,24.59
2025-08-01 00:02:30,24.61
2025-08-01 00:02:40,24.46
2025-08-01 00:02:50,23.99
2025-08-01 00:03:00,24.48
2025-08-01 00:03:10,23.81
2025-08-01 00:03:20,24.15
2025-08-01 00:03:30,23.99
2025-08-01 00:03:40,23.74
2025-08-01 00:03:50,23.5
2025-08-01 00:04:00,23.72
2025-08-01 00:04:10,25.4
2025-08-01 00:04:20,24.67
2025-08-01 00:04:30,24.58
2025-08-01 00:04:40,23.94
2025-08-01 00:04:50,23.65
2025-08-01 00:05:00,24.47
2025-08-01 00:05:10,24.5
2025-08-01 00:05:20,23.69
2025-08-01 00:05:30,24.31
2025-08-01 00:05:40,24.01
2025-08-01 00:05:50,23.81
2025-08-01 00:06:00,24.0
2025-08-01 00:06:10,23.29
2025-08-01 00:06:20,23.99
2025-08-01 00:06:30,23.58
2025-08-01 00:06:40,23.54
2025-08-01 00:06:50,25.05
2025-08-01 00:07:00,25.13
2025-08-01 00:07:10,24.44
2025-08-01 00:07:20,24.26
2025-08-01 00:07:30,23.59
2025-08-01 00:07:40,24.33
2025-08-01 00:07:50,23.53
2025-08-01 00:08:00,23.98
2025-08-01 00:08:10,24.56
2025-08-01 00:08:20,23.51
2025-08-01 00:08:30,24.83
2025-08-01 00:08:40,23.33
2025-08-01 00:08:50,23.19
2025-08-01 00:09:00,24.5
2025-08-01 00:09:10,24.07
2025-08-01 00:09:20,23.14
2025-08-01 00:09:30,23.57
2025-08-01 00:09:40,23.96
2025-08-01 00:09:50,23.76
2025-08-01 00:10:00,24.56
